Postcode,Total_daily_wateruse(BG/d),Total Wateruse 2015,Population 2015,% Growth Population (2015-2020),Population 2020,% Growth Water demand,Water Demand 2020,% Growth Population (2020-2030),Population 2030,% Growth Water demand,Water Demand 2030,% Growth Population (2030-2040),Population 2040,% Growth Water demand,Water Demand 2040,% Growth Population (2040-2050),Population 2050,% Growth Water demand,Water Demand 2050,% Growth Population (2050-2060),Population 2060,% Growth Water demand,Water Demand 2060,% Growth Population (2060-2070),Population 2070,% Growth Water demand,Water Demand 2070,% Growth Population (2070-2080),Population 2080,% Growth Water demand,Water Demand 2080,% Growth Population (2080-2090),Population 2090,% Growth Water demand,Water Demand 2090
10301,0.056543843,20.6385027,38280,3.15%,39486,3.15%,21.28861553,4.90%,41421,4.90%,22.33175769,4.90%,43450,4.90%,23.42601382,4.90%,45579,4.90%,24.57388849,4.90%,47813,4.90%,25.77800903,4.90%,50156,4.90%,27.04113147,4.90%,52613,4.90%,28.36614692,4.90%,55191,4.90%,29.75608811
10302,0.005489708,2.00374342,18037,3.15%,18605,3.15%,2.066861338,4.90%,19517,4.90%,2.168137543,4.90%,20473,4.90%,2.274376283,4.90%,21476,4.90%,2.385820721,4.90%,22529,4.90%,2.502725936,4.90%,23633,4.90%,2.625359507,4.90%,24791,4.90%,2.754002123,4.90%,26005,4.90%,2.888948227
10303,0.009791269,3.573813185,27401,3.15%,28264,3.15%,3.6863883,4.90%,29649,4.90%,3.867021327,4.90%,31102,4.90%,4.056505372,4.90%,32626,4.90%,4.255274135,4.90%,34225,4.90%,4.463782568,4.90%,35902,4.90%,4.682507914,4.90%,37661,4.90%,4.911950802,4.90%,39506,4.90%,5.152636391
10304,0.076848307,28.04963206,41112,3.15%,42407,3.15%,28.93319546,4.90%,44485,4.90%,30.35092204,4.90%,46665,4.90%,31.83811722,4.90%,48951,4.90%,33.39818497,4.90%,51350,4.90%,35.03469603,4.90%,53866,4.90%,36.75139614,4.90%,56506,4.90%,38.55221455,4.90%,59274,4.90%,40.44127306
10305,0.032792224,11.96916176,42726,3.15%,44072,3.15%,12.34619036,4.90%,46231,4.90%,12.95115368,4.90%,48497,4.90%,13.58576021,4.90%,50873,4.90%,14.25146246,4.90%,53366,4.90%,14.94978412,4.90%,55981,4.90%,15.68232355,4.90%,58724,4.90%,16.4507574,4.90%,61601,4.90%,17.25684451
10306,0.028062955,10.24297858,53877,3.15%,55574,3.15%,10.5656324,4.90%,58297,4.90%,11.08334839,4.90%,61154,4.90%,11.62643246,4.90%,64150,4.90%,12.19612765,4.90%,67294,4.90%,12.7937379,4.90%,70591,4.90%,13.42063106,4.90%,74050,4.90%,14.07824198,4.90%,77679,4.90%,14.76807584
10308,0.003410069,1.244675185,29512,3.15%,30442,3.15%,1.283882453,4.90%,31933,4.90%,1.346792694,4.90%,33498,4.90%,1.412785536,4.90%,35139,4.90%,1.482012027,4.90%,36861,4.90%,1.554630616,4.90%,38667,4.90%,1.630807516,4.90%,40562,4.90%,1.710717085,4.90%,42550,4.90%,1.794542222
10310,0.008035766,2.93305459,23800,3.15%,24550,3.15%,3.02544581,4.90%,25753,4.90%,3.173692654,4.90%,27015,4.90%,3.329203594,4.90%,28338,4.90%,3.49233457,4.90%,29727,4.90%,3.663458964,4.90%,31183,4.90%,3.842968454,4.90%,32711,4.90%,4.031273908,4.90%,34314,4.90%,4.228806329
10312,0.003306374,1.20682651,61392,3.15%,63326,3.15%,1.244841545,4.90%,66429,4.90%,1.305838781,4.90%,69684,4.90%,1.369824881,4.90%,73098,4.90%,1.4369463,4.90%,76680,4.90%,1.507356669,4.90%,80437,4.90%,1.581217146,4.90%,84379,4.90%,1.658696786,4.90%,88513,4.90%,1.739972928
10314,0.122036564,44.54334586,89792,3.15%,92620,3.15%,45.94646125,4.90%,97159,4.90%,48.19783786,4.90%,101920,4.90%,50.55953191,4.90%,106914,4.90%,53.03694897,4.90%,112152,4.90%,55.63575947,4.90%,117648,4.90%,58.36191169,4.90%,123413,4.90%,61.22164536,4.90%,129460,4.90%,64.22150598
